text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	depravity	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	unworthy	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	infamy	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	despise	8	8.49256900212e-05
Burke.1790.Reflections on the Revolution of France.txt	vice	10	0.000106157112527
Burke.1790.Reflections on the Revolution of France.txt	lewd	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	lewdness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	badness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sinful	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	iniquity	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	iniquitous	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	malice	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	malicious	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	maliciousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	malignity	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	malignant	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	flagrant	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	villainy	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	heinous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	turpitude	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	perverse	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	perverseness	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	depravity	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	depraved	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	deprave	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	wicked	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	pernicious	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	wickedness	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	outrageous	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	inexcusable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	unpardonable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	reprobate	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	debauch	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	misconduct	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	shameful	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	unwholesome	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	foul	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	depravation	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	debased	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	degenerate	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	corrupt	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	corruption	8	8.49256900212e-05
Burke.1790.Reflections on the Revolution of France.txt	reprobate	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	corrupted	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	misconduct	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	guilt	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	guilty	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	ribaldry	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	goodness	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	valour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	respectable	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	honour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	magnanimity	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	magnanimous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	integrity	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	irreproachable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	reproach	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	rectitude	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	righteous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	righteousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	undefiled	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	uncorrupt	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	uncorrupted	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	tainted	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	untainted	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	incorruptible	0	0.0
